epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,126.211,0.8568,0.69751,0.29238,0.68234,1.47396,1,0.98983,0.995,0.81511,1,0.98983,0.995,0.89232,0.69898,0.5074,0.09186,0.96156,1.28098,0.007558,0.007558,0.007558
39,129.368,0.78309,0.67463,0.28707,0.61947,1.45612,0.91798,1,0.97447,0.7709,0.72621,0.78571,0.78765,0.3219,0.86051,2.81263,0.36851,1.32758,1.90934,0.007492,0.007492,0.007492
40,132.506,0.69587,0.54314,0.23581,0.57489,1.36847,0.70252,0.92857,0.85483,0.56668,0.58691,0.65993,0.58652,0.16716,1.00871,3.6888,0.21458,1.76424,2.01283,0.007426,0.007426,0.007426
41,135.538,0.73148,0.69273,0.30605,0.62412,1.41001,0.93391,0.96429,0.98627,0.75965,0.9642,1,0.995,0.49127,0.75509,1.76231,0.12326,1.25005,1.54324,0.00736,0.00736,0.00736
42,138.63,0.7874,0.55507,0.24405,0.66679,1.44772,0.92403,1,0.99017,0.74565,0.92403,1,0.99017,0.86592,0.74,0.5903,0.04182,1.1072,1.24263,0.007294,0.007294,0.007294
43,141.671,0.74906,0.71623,0.25674,0.66449,1.37695,0.98722,1,0.995,0.85486,0.98722,1,0.995,0.79735,0.5789,0.70306,0.08896,0.66693,1.01719,0.007228,0.007228,0.007228
44,144.801,0.78761,0.51626,0.2169,0.64185,1.4567,0.99771,1,0.995,0.8906,0.99771,1,0.995,0.77094,0.53097,0.6804,0.20078,0.57571,0.93415,0.007162,0.007162,0.007162
45,147.907,0.7584,0.58498,0.26802,0.5937,1.41174,0.99732,1,0.995,0.87383,0.99732,1,0.995,0.86425,0.56405,0.56361,0.21443,0.63323,0.96401,0.007096,0.007096,0.007096
46,151.059,0.74584,0.62222,0.27415,0.58166,1.3847,0.96539,0.99635,0.99155,0.7979,0.96539,0.99635,0.99155,0.86414,0.67906,0.55401,0.06207,0.84322,1.16368,0.00703,0.00703,0.00703
47,154.189,0.68827,0.5468,0.259,0.54452,1.33803,0.96514,0.98897,0.99397,0.8754,0.96514,0.98897,0.99397,0.87962,0.5847,0.58266,0.12803,0.97923,1.07828,0.006964,0.006964,0.006964
48,157.353,0.72014,0.54704,0.23485,0.57946,1.37525,0.95749,1,0.99259,0.85187,0.95749,1,0.99259,0.88816,0.68466,0.51954,0.11768,1.01247,1.16329,0.006898,0.006898,0.006898
49,160.398,0.70364,0.52726,0.25121,0.57771,1.37484,0.96355,1,0.995,0.83628,0.96355,1,0.995,0.86309,0.73203,0.52313,0.11574,1.06069,1.25995,0.006832,0.006832,0.006832
