epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,143.448,0.2431,1.09148,0.42206,0.33576,0.99185,0.99648,1,0.995,0.98007,0.99648,1,0.995,0.70472,0.28806,1.07305,0.20548,0.4494,0.71215,0.0012476,0.0012476,0.0012476
40,146.864,0.24763,1.03078,0.40781,0.34,0.98473,0.99665,1,0.995,0.995,0.99665,1,0.995,0.72266,0.24945,1.15135,0.23364,0.38299,0.62106,0.0012278,0.0012278,0.0012278
41,150.543,0.21385,0.87434,0.40983,0.29583,0.94588,0.99676,1,0.995,0.98633,0.99676,1,0.995,0.67943,0.23461,1.37921,0.22989,0.27557,0.55255,0.001208,0.001208,0.001208
42,154.156,0.23666,1.07959,0.41677,0.33402,0.98022,0.99664,1,0.995,0.9854,0.99664,1,0.995,0.6651,0.26709,1.24572,0.22183,0.29567,0.56768,0.0011882,0.0011882,0.0011882
43,157.527,0.21439,1.31868,0.44499,0.31374,0.95184,0.99664,1,0.995,0.9854,0.99664,1,0.995,0.6651,0.26709,1.24572,0.22183,0.29567,0.56768,0.0011684,0.0011684,0.0011684
44,161.147,0.21305,0.95694,0.45502,0.31231,0.95149,0.99649,1,0.995,0.98673,0.99649,1,0.995,0.71707,0.25848,1.02958,0.21518,0.29971,0.58367,0.0011486,0.0011486,0.0011486
45,164.899,0.20926,1.28315,0.4587,0.28606,0.95417,0.9966,1,0.995,0.995,0.9966,1,0.995,0.73639,0.24065,0.97992,0.23836,0.32515,0.56652,0.0011288,0.0011288,0.0011288
46,168.445,0.2042,1.01741,0.46629,0.26955,0.94934,0.99665,1,0.995,0.985,0.99665,1,0.995,0.75617,0.27938,0.98641,0.26836,0.31939,0.60469,0.001109,0.001109,0.001109
47,171.964,0.19816,0.81952,0.4447,0.30741,0.96251,0.99664,1,0.995,0.989,0.99664,1,0.995,0.72467,0.30354,1.1451,0.30909,0.32481,0.62875,0.0010892,0.0010892,0.0010892
48,175.88,0.21039,1.0152,0.45556,0.29416,0.93506,0.99659,1,0.995,0.98807,0.99659,1,0.995,0.72248,0.32137,1.1136,0.28767,0.33819,0.63221,0.0010694,0.0010694,0.0010694
49,179.539,0.20947,1.18784,0.46204,0.31877,0.96119,0.99666,1,0.995,0.995,0.99666,1,0.995,0.77053,0.34968,1.00358,0.27908,0.36685,0.6394,0.0010496,0.0010496,0.0010496
50,182.965,0.19338,0.84089,0.41913,0.28781,0.95318,0.99666,1,0.995,0.995,0.99666,1,0.995,0.70394,0.32661,1.04843,0.29437,0.35022,0.61301,0.0010298,0.0010298,0.0010298
51,186.337,0.20168,1.06391,0.38666,0.30999,0.95454,0.99669,1,0.995,0.97743,0.99669,1,0.995,0.68338,0.29684,1.03656,0.27094,0.32544,0.596,0.00101,0.00101,0.00101
52,189.974,0.20502,0.91749,0.3986,0.33785,0.97208,0.99672,1,0.995,0.995,0.99672,1,0.995,0.76972,0.27759,0.91679,0.24809,0.32098,0.57996,0.0009902,0.0009902,0.0009902
53,193.616,0.21186,1.11434,0.43233,0.31585,0.95585,0.99676,1,0.995,0.995,0.99676,1,0.995,0.77398,0.23031,0.89881,0.24719,0.27803,0.51905,0.0009704,0.0009704,0.0009704
54,197.163,0.21154,0.97902,0.41848,0.299,0.94177,0.99667,1,0.995,0.995,0.99667,1,0.995,0.77443,0.21662,0.9839,0.33641,0.27407,0.51073,0.0009506,0.0009506,0.0009506
55,200.917,0.2189,0.92631,0.41706,0.30511,0.96783,0.99669,1,0.995,0.995,0.99669,1,0.995,0.79236,0.18484,0.93774,0.39585,0.22766,0.48505,0.0009308,0.0009308,0.0009308
56,204.735,0.20246,1.12684,0.41489,0.29817,0.95394,0.99675,1,0.995,0.995,0.99675,1,0.995,0.82087,0.17429,0.83877,0.34983,0.22081,0.48647,0.000911,0.000911,0.000911
57,208.471,0.17614,0.8347,0.39034,0.26657,0.95363,0.99671,1,0.995,0.995,0.99671,1,0.995,0.82477,0.19365,0.80064,0.27508,0.22663,0.51517,0.0008912,0.0008912,0.0008912
58,212.199,0.17898,0.77526,0.3804,0.24651,0.9358,0.99664,1,0.995,0.995,0.99664,1,0.995,0.79453,0.19342,0.87653,0.23664,0.23864,0.51861,0.0008714,0.0008714,0.0008714
59,215.785,0.19301,0.86405,0.38019,0.34559,0.98396,0.99664,1,0.995,0.995,0.99664,1,0.995,0.79453,0.19342,0.87653,0.23664,0.23864,0.51861,0.0008516,0.0008516,0.0008516
60,219.529,0.2231,1.0975,0.46509,0.32344,0.96853,0.99666,1,0.995,0.995,0.99666,1,0.995,0.76417,0.17506,0.88993,0.22116,0.23875,0.49512,0.0008318,0.0008318,0.0008318
61,223.254,0.20501,0.77427,0.40929,0.30085,0.99644,0.99673,1,0.995,0.995,0.99673,1,0.995,0.74832,0.21608,0.85481,0.24178,0.29111,0.53342,0.000812,0.000812,0.000812
62,226.821,0.18063,0.78352,0.41346,0.27545,0.96043,0.99672,1,0.995,0.995,0.99672,1,0.995,0.76053,0.22859,0.77042,0.27725,0.28412,0.55982,0.0007922,0.0007922,0.0007922
